&#0;	�		%00
&#326;	ņ	ņ	%u0146
&#327;	Ň	Ň	%u0147
&#328;	ň	ň	%u0148
&#329;	ŉ	ŉ	%u0149
&#330;	Ŋ	Ŋ	%u014A
&#331;	ŋ	ŋ	%u014B
&#332;	Ō	Ō	%u014C
&#333;	ō	ō	%u014D
&#334;	Ŏ	Ŏ	%u014E
&#335;	ŏ	ŏ	%u014F
&#336;	Ő	Ő	%u0150
&#337;	ő	ő	%u0151
&#338;	Œ	Œ	%u0152
&#339;	œ	œ	%u0153
&#340;	Ŕ	Ŕ	%u0154
&#341;	ŕ	ŕ	%u0155
&#342;	Ŗ	Ŗ	%u0156
&#343;	ŗ	ŗ	%u0157
&#344;	Ř	Ř	%u0158
&#345;	ř	ř	%u0159
&#346;	Ś	Ś	%u015A
&#347;	ś	ś	%u015B
&#348;	Ŝ	Ŝ	%u015C
&#349;	ŝ	ŝ	%u015D
&#350;	Ş	Ş	%u015E
&#351;	ş	ş	%u015F
&#352;	Š	Š	%u0160
&#353;	š	š	%u0161
&#354;	Ţ	Ţ	%u0162
&#355;	ţ	ţ	%u0163
&#356;	Ť	Ť	%u0164
&#357;	ť	ť	%u0165
&#358;	Ŧ	Ŧ	%u0166
&#359;	ŧ	ŧ	%u0167
&#360;	Ũ	Ũ	%u0168
&#361;	ũ	ũ	%u0169
&#362;	Ū	Ū	%u016A
&#363;	ū	ū	%u016B
&#364;	Ŭ	Ŭ	%u016C
&#365;	ŭ	ŭ	%u016D
&#366;	Ů	Ů	%u016E
&#367;	ů	ů	%u016F
&#368;	Ű	Ű	%u0170
&#369;	ű	ű	%u0171
&#370;	Ų	Ų	%u0172
&#371;	ų	ų	%u0173
&#372;	Ŵ	Ŵ	%u0174
&#373;	ŵ	ŵ	%u0175
&#374;	Ŷ	Ŷ	%u0176
&#375;	ŷ	ŷ	%u0177
&#376;	Ÿ	Ÿ	%u0178
&#377;	Ź	Ź	%u0179
&#378;	ź	ź	%u017A
&#379;	Ż	Ż	%u017B
&#380;	ż	ż	%u017C
&#381;	Ž	Ž	%u017D
&#382;	ž	ž	%u017E
&#383;	ſ	ſ	%u017F
&#384;	ƀ	ƀ	%u0180
&#385;	Ɓ	Ɓ	%u0181
&#386;	Ƃ	Ƃ	%u0182
&#387;	ƃ	ƃ	%u0183
&#388;	Ƅ	Ƅ	%u0184
&#389;	ƅ	ƅ	%u0185
&#390;	Ɔ	Ɔ	%u0186
&#391;	Ƈ	Ƈ	%u0187
&#392;	ƈ	ƈ	%u0188
&#393;	Ɖ	Ɖ	%u0189
&#394;	Ɗ	Ɗ	%u018A
&#395;	Ƌ	Ƌ	%u018B
&#396;	ƌ	ƌ	%u018C
&#397;	ƍ	ƍ	%u018D
&#398;	Ǝ	Ǝ	%u018E
&#399;	Ə	Ə	%u018F
&#400;	Ɛ	Ɛ	%u0190
&#401;	Ƒ	Ƒ	%u0191
&#402;	ƒ	ƒ	%u0192
&#403;	Ɠ	Ɠ	%u0193
&#404;	Ɣ	Ɣ	%u0194
&#405;	ƕ	ƕ	%u0195
&#406;	Ɩ	Ɩ	%u0196
&#407;	Ɨ	Ɨ	%u0197
&#408;	Ƙ	Ƙ	%u0198
&#409;	ƙ	ƙ	%u0199
&#410;	ƚ	ƚ	%u019A
&#411;	ƛ	ƛ	%u019B
&#412;	Ɯ	Ɯ	%u019C
&#413;	Ɲ	Ɲ	%u019D
&#414;	ƞ	ƞ	%u019E
&#415;	Ɵ	Ɵ	%u019F
&#416;	Ơ	Ơ	%u01A0
&#417;	ơ	ơ	%u01A1
&#418;	Ƣ	Ƣ	%u01A2
&#419;	ƣ	ƣ	%u01A3
&#420;	Ƥ	Ƥ	%u01A4
&#421;	ƥ	ƥ	%u01A5
&#422;	Ʀ	Ʀ	%u01A6
&#423;	Ƨ	Ƨ	%u01A7
&#424;	ƨ	ƨ	%u01A8
&#425;	Ʃ	Ʃ	%u01A9
&#426;	ƪ	ƪ	%u01AA
&#427;	ƫ	ƫ	%u01AB
&#428;	Ƭ	Ƭ	%u01AC
&#429;	ƭ	ƭ	%u01AD
&#430;	Ʈ	Ʈ	%u01AE
&#431;	Ư	Ư	%u01AF
&#432;	ư	ư	%u01B0
&#433;	Ʊ	Ʊ	%u01B1
&#434;	Ʋ	Ʋ	%u01B2
&#435;	Ƴ	Ƴ	%u01B3
&#436;	ƴ	ƴ	%u01B4
&#437;	Ƶ	Ƶ	%u01B5
&#438;	ƶ	ƶ	%u01B6
&#439;	Ʒ	Ʒ	%u01B7
&#440;	Ƹ	Ƹ	%u01B8
&#441;	ƹ	ƹ	%u01B9
&#442;	ƺ	ƺ	%u01BA
&#443;	ƻ	ƻ	%u01BB
&#444;	Ƽ	Ƽ	%u01BC
&#445;	ƽ	ƽ	%u01BD
&#446;	ƾ	ƾ	%u01BE
&#447;	ƿ	ƿ	%u01BF
&#448;	ǀ	ǀ	%u01C0
&#449;	ǁ	ǁ	%u01C1
&#450;	ǂ	ǂ	%u01C2
&#451;	ǃ	ǃ	%u01C3
&#452;	Ǆ	Ǆ	%u01C4
&#453;	ǅ	ǅ	%u01C5
&#454;	ǆ	ǆ	%u01C6
&#455;	Ǉ	Ǉ	%u01C7
&#456;	ǈ	ǈ	%u01C8
&#457;	ǉ	ǉ	%u01C9
&#458;	Ǌ	Ǌ	%u01CA
&#459;	ǋ	ǋ	%u01CB
&#460;	ǌ	ǌ	%u01CC
&#461;	Ǎ	Ǎ	%u01CD
&#462;	ǎ	ǎ	%u01CE
&#463;	Ǐ	Ǐ	%u01CF
&#464;	ǐ	ǐ	%u01D0
&#465;	Ǒ	Ǒ	%u01D1
&#466;	ǒ	ǒ	%u01D2
&#467;	Ǔ	Ǔ	%u01D3
&#468;	ǔ	ǔ	%u01D4
&#469;	Ǖ	Ǖ	%u01D5
&#470;	ǖ	ǖ	%u01D6
&#471;	Ǘ	Ǘ	%u01D7
&#472;	ǘ	ǘ	%u01D8
&#473;	Ǚ	Ǚ	%u01D9
&#474;	ǚ	ǚ	%u01DA
&#475;	Ǜ	Ǜ	%u01DB
&#476;	ǜ	ǜ	%u01DC
&#477;	ǝ	ǝ	%u01DD
&#478;	Ǟ	Ǟ	%u01DE
&#479;	ǟ	ǟ	%u01DF
&#480;	Ǡ	Ǡ	%u01E0
&#481;	ǡ	ǡ	%u01E1
&#482;	Ǣ	Ǣ	%u01E2
&#483;	ǣ	ǣ	%u01E3
&#484;	Ǥ	Ǥ	%u01E4
&#485;	ǥ	ǥ	%u01E5
&#486;	Ǧ	Ǧ	%u01E6
&#487;	ǧ	ǧ	%u01E7
&#488;	Ǩ	Ǩ	%u01E8
&#489;	ǩ	ǩ	%u01E9
&#490;	Ǫ	Ǫ	%u01EA
&#491;	ǫ	ǫ	%u01EB
&#492;	Ǭ	Ǭ	%u01EC
&#493;	ǭ	ǭ	%u01ED
&#494;	Ǯ	Ǯ	%u01EE
&#495;	ǯ	ǯ	%u01EF
&#496;	ǰ	ǰ	%u01F0
&#497;	Ǳ	Ǳ	%u01F1
&#498;	ǲ	ǲ	%u01F2
&#499;	ǳ	ǳ	%u01F3
&#500;	Ǵ	Ǵ	%u01F4
&#501;	ǵ	ǵ	%u01F5
&#502;	Ƕ	Ƕ	%u01F6
&#503;	Ƿ	Ƿ	%u01F7
&#504;	Ǹ	Ǹ	%u01F8
&#505;	ǹ	ǹ	%u01F9
&#506;	Ǻ	Ǻ	%u01FA
&#507;	ǻ	ǻ	%u01FB
&#508;	Ǽ	Ǽ	%u01FC
&#509;	ǽ	ǽ	%u01FD
&#510;	Ǿ	Ǿ	%u01FE
&#511;	ǿ	ǿ	%u01FF
&#512;	Ȁ	Ȁ	%u0200
&#513;	ȁ	ȁ	%u0201
&#514;	Ȃ	Ȃ	%u0202
&#515;	ȃ	ȃ	%u0203
&#516;	Ȅ	Ȅ	%u0204
&#517;	ȅ	ȅ	%u0205
&#518;	Ȇ	Ȇ	%u0206
&#519;	ȇ	ȇ	%u0207
&#520;	Ȉ	Ȉ	%u0208
&#521;	ȉ	ȉ	%u0209
&#522;	Ȋ	Ȋ	%u020A
&#523;	ȋ	ȋ	%u020B
&#524;	Ȍ	Ȍ	%u020C
&#525;	ȍ	ȍ	%u020D
&#526;	Ȏ	Ȏ	%u020E
&#527;	ȏ	ȏ	%u020F
&#528;	Ȑ	Ȑ	%u0210
&#529;	ȑ	ȑ	%u0211
&#530;	Ȓ	Ȓ	%u0212
&#531;	ȓ	ȓ	%u0213
&#532;	Ȕ	Ȕ	%u0214
&#533;	ȕ	ȕ	%u0215
&#534;	Ȗ	Ȗ	%u0216
&#535;	ȗ	ȗ	%u0217
&#536;	Ș	Ș	%u0218
&#537;	ș	ș	%u0219
&#538;	Ț	Ț	%u021A
&#539;	ț	ț	%u021B
&#540;	Ȝ	Ȝ	%u021C
&#541;	ȝ	ȝ	%u021D
&#542;	Ȟ	Ȟ	%u021E
&#543;	ȟ	ȟ	%u021F
&#544;	Ƞ	Ƞ	%u0220
&#545;	ȡ	ȡ	%u0221
&#546;	Ȣ	Ȣ	%u0222
&#547;	ȣ	ȣ	%u0223
&#548;	Ȥ	Ȥ	%u0224
&#549;	ȥ	ȥ	%u0225
&#550;	Ȧ	Ȧ	%u0226
&#551;	ȧ	ȧ	%u0227
&#552;	Ȩ	Ȩ	%u0228
&#553;	ȩ	ȩ	%u0229
&#554;	Ȫ	Ȫ	%u022A
&#555;	ȫ	ȫ	%u022B
&#556;	Ȭ	Ȭ	%u022C
&#557;	ȭ	ȭ	%u022D
&#558;	Ȯ	Ȯ	%u022E
&#559;	ȯ	ȯ	%u022F
&#560;	Ȱ	Ȱ	%u0230
&#561;	ȱ	ȱ	%u0231
&#562;	Ȳ	Ȳ	%u0232
&#563;	ȳ	ȳ	%u0233
&#564;	ȴ	ȴ	%u0234
&#565;	ȵ	ȵ	%u0235
&#566;	ȶ	ȶ	%u0236
&#567;	ȷ	ȷ	%u0237
&#568;	ȸ	ȸ	%u0238
&#569;	ȹ	ȹ	%u0239
&#570;	Ⱥ	Ⱥ	%u023A
&#571;	Ȼ	Ȼ	%u023B
&#572;	ȼ	ȼ	%u023C
&#573;	Ƚ	Ƚ	%u023D
&#574;	Ⱦ	Ⱦ	%u023E
&#575;	ȿ	ȿ	%u023F
&#576;	ɀ	ɀ	%u0240
&#577;	Ɂ	Ɂ	%u0241
&#578;	ɂ	ɂ	%u0242
&#579;	Ƀ	Ƀ	%u0243
&#580;	Ʉ	Ʉ	%u0244
&#581;	Ʌ	Ʌ	%u0245
&#582;	Ɇ	Ɇ	%u0246
&#583;	ɇ	ɇ	%u0247
&#584;	Ɉ	Ɉ	%u0248
&#585;	ɉ	ɉ	%u0249
&#586;	Ɋ	Ɋ	%u024A
&#587;	ɋ	ɋ	%u024B
&#588;	Ɍ	Ɍ	%u024C
&#589;	ɍ	ɍ	%u024D
&#590;	Ɏ	Ɏ	%u024E
&#591;	ɏ	ɏ	%u024F
&#592;	ɐ	ɐ	%u0250
&#593;	ɑ	ɑ	%u0251
&#594;	ɒ	ɒ	%u0252
&#595;	ɓ	ɓ	%u0253
&#596;	ɔ	ɔ	%u0254
&#597;	ɕ	ɕ	%u0255
&#598;	ɖ	ɖ	%u0256
&#599;	ɗ	ɗ	%u0257
&#600;	ɘ	ɘ	%u0258
&#601;	ə	ə	%u0259
&#602;	ɚ	ɚ	%u025A
&#603;	ɛ	ɛ	%u025B
&#604;	ɜ	ɜ	%u025C
&#605;	ɝ	ɝ	%u025D
&#606;	ɞ	ɞ	%u025E
&#607;	ɟ	ɟ	%u025F
&#608;	ɠ	ɠ	%u0260
&#609;	ɡ	ɡ	%u0261
&#610;	ɢ	ɢ	%u0262
&#611;	ɣ	ɣ	%u0263
&#612;	ɤ	ɤ	%u0264
&#613;	ɥ	ɥ	%u0265
&#614;	ɦ	ɦ	%u0266
&#615;	ɧ	ɧ	%u0267
&#616;	ɨ	ɨ	%u0268
&#617;	ɩ	ɩ	%u0269
&#618;	ɪ	ɪ	%u026A
&#619;	ɫ	ɫ	%u026B
&#620;	ɬ	ɬ	%u026C
&#621;	ɭ	ɭ	%u026D
&#622;	ɮ	ɮ	%u026E
&#623;	ɯ	ɯ	%u026F
&#624;	ɰ	ɰ	%u0270
&#625;	ɱ	ɱ	%u0271
&#626;	ɲ	ɲ	%u0272
&#627;	ɳ	ɳ	%u0273
&#628;	ɴ	ɴ	%u0274
&#629;	ɵ	ɵ	%u0275
&#630;	ɶ	ɶ	%u0276
&#631;	ɷ	ɷ	%u0277
&#632;	ɸ	ɸ	%u0278
&#633;	ɹ	ɹ	%u0279
&#634;	ɺ	ɺ	%u027A
&#635;	ɻ	ɻ	%u027B
&#636;	ɼ	ɼ	%u027C
&#637;	ɽ	ɽ	%u027D
&#638;	ɾ	ɾ	%u027E
&#639;	ɿ	ɿ	%u027F
&#640;	ʀ	ʀ	%u0280
&#641;	ʁ	ʁ	%u0281
&#642;	ʂ	ʂ	%u0282
&#643;	ʃ	ʃ	%u0283
&#644;	ʄ	ʄ	%u0284
&#645;	ʅ	ʅ	%u0285
&#646;	ʆ	ʆ	%u0286
&#647;	ʇ	ʇ	%u0287
&#648;	ʈ	ʈ	%u0288
&#649;	ʉ	ʉ	%u0289
&#650;	ʊ	ʊ	%u028A
&#651;	ʋ	ʋ	%u028B
&#652;	ʌ	ʌ	%u028C
&#653;	ʍ	ʍ	%u028D
&#654;	ʎ	ʎ	%u028E
&#655;	ʏ	ʏ	%u028F
&#656;	ʐ	ʐ	%u0290
&#657;	ʑ	ʑ	%u0291
&#658;	ʒ	ʒ	%u0292
&#659;	ʓ	ʓ	%u0293
&#660;	ʔ	ʔ	%u0294
&#661;	ʕ	ʕ	%u0295
&#662;	ʖ	ʖ	%u0296
&#663;	ʗ	ʗ	%u0297
&#664;	ʘ	ʘ	%u0298
&#665;	ʙ	ʙ	%u0299
&#666;	ʚ	ʚ	%u029A
&#667;	ʛ	ʛ	%u029B
&#668;	ʜ	ʜ	%u029C
&#669;	ʝ	ʝ	%u029D
&#670;	ʞ	ʞ	%u029E
&#671;	ʟ	ʟ	%u029F
&#672;	ʠ	ʠ	%u02A0
&#673;	ʡ	ʡ	%u02A1
&#674;	ʢ	ʢ	%u02A2
&#675;	ʣ	ʣ	%u02A3
&#676;	ʤ	ʤ	%u02A4
&#677;	ʥ	ʥ	%u02A5
&#678;	ʦ	ʦ	%u02A6
&#679;	ʧ	ʧ	%u02A7
&#680;	ʨ	ʨ	%u02A8
&#681;	ʩ	ʩ	%u02A9
&#682;	ʪ	ʪ	%u02AA
&#683;	ʫ	ʫ	%u02AB
&#684;	ʬ	ʬ	%u02AC
&#685;	ʭ	ʭ	%u02AD
&#686;	ʮ	ʮ	%u02AE
&#687;	ʯ	ʯ	%u02AF
&#688;	ʰ	ʰ	%u02B0
&#689;	ʱ	ʱ	%u02B1
&#690;	ʲ	ʲ	%u02B2
&#691;	ʳ	ʳ	%u02B3
&#692;	ʴ	ʴ	%u02B4
&#693;	ʵ	ʵ	%u02B5
&#694;	ʶ	ʶ	%u02B6
&#695;	ʷ	ʷ	%u02B7
&#696;	ʸ	ʸ	%u02B8
&#697;	ʹ	ʹ	%u02B9
&#698;	ʺ	ʺ	%u02BA
&#699;	ʻ	ʻ	%u02BB
&#700;	ʼ	ʼ	%u02BC
&#701;	ʽ	ʽ	%u02BD
&#702;	ʾ	ʾ	%u02BE
&#703;	ʿ	ʿ	%u02BF
&#704;	ˀ	ˀ	%u02C0
&#705;	ˁ	ˁ	%u02C1
&#706;	˂	˂	%u02C2
&#707;	˃	˃	%u02C3
&#708;	˄	˄	%u02C4
&#709;	˅	˅	%u02C5
&#710;	ˆ	ˆ	%u02C6
&#711;	ˇ	ˇ	%u02C7
&#712;	ˈ	ˈ	%u02C8
&#713;	ˉ	ˉ	%u02C9
&#714;	ˊ	ˊ	%u02CA
&#715;	ˋ	ˋ	%u02CB
&#716;	ˌ	ˌ	%u02CC
&#717;	ˍ	ˍ	%u02CD
&#718;	ˎ	ˎ	%u02CE
&#719;	ˏ	ˏ	%u02CF
&#720;	ː	ː	%u02D0
&#721;	ˑ	ˑ	%u02D1
&#722;	˒	˒	%u02D2
&#723;	˓	˓	%u02D3
&#724;	˔	˔	%u02D4
&#725;	˕	˕	%u02D5
&#726;	˖	˖	%u02D6
&#727;	˗	˗	%u02D7
&#728;	˘	˘	%u02D8
&#729;	˙	˙	%u02D9
&#730;	˚	˚	%u02DA
&#731;	˛	˛	%u02DB
&#732;	˜	˜	%u02DC
&#733;	˝	˝	%u02DD
&#734;	˞	˞	%u02DE
&#735;	˟	˟	%u02DF
&#736;	ˠ	ˠ	%u02E0
&#737;	ˡ	ˡ	%u02E1
&#738;	ˢ	ˢ	%u02E2
&#739;	ˣ	ˣ	%u02E3
&#740;	ˤ	ˤ	%u02E4
&#741;	˥	˥	%u02E5
&#742;	˦	˦	%u02E6
&#743;	˧	˧	%u02E7
&#744;	˨	˨	%u02E8
&#745;	˩	˩	%u02E9
&#746;	˪	˪	%u02EA
&#747;	˫	˫	%u02EB
&#748;	ˬ	ˬ	%u02EC
&#749;	˭	˭	%u02ED
&#750;	ˮ	ˮ	%u02EE
&#751;	˯	˯	%u02EF
&#752;	˰	˰	%u02F0
&#753;	˱	˱	%u02F1
&#754;	˲	˲	%u02F2
&#755;	˳	˳	%u02F3
&#756;	˴	˴	%u02F4
&#757;	˵	˵	%u02F5
&#758;	˶	˶	%u02F6
&#759;	˷	˷	%u02F7
&#760;	˸	˸	%u02F8
&#761;	˹	˹	%u02F9
&#762;	˺	˺	%u02FA
&#763;	˻	˻	%u02FB
&#764;	˼	˼	%u02FC
&#765;	˽	˽	%u02FD
&#766;	˾	˾	%u02FE
&#767;	˿	˿	%u02FF
&#768;	̀	̀	%u0300
&#769;	́	́	%u0301
&#770;	̂	̂	%u0302
&#771;	̃	̃	%u0303
&#772;	̄	̄	%u0304
&#773;	̅	̅	%u0305
&#774;	̆	̆	%u0306
&#775;	̇	̇	%u0307
&#776;	̈	̈	%u0308
&#777;	̉	̉	%u0309
&#778;	̊	̊	%u030A
&#779;	̋	̋	%u030B
&#780;	̌	̌	%u030C
&#781;	̍	̍	%u030D
&#782;	̎	̎	%u030E
&#783;	̏	̏	%u030F
&#784;	̐	̐	%u0310
&#785;	̑	̑	%u0311
&#786;	̒	̒	%u0312
&#787;	̓	̓	%u0313
&#788;	̔	̔	%u0314
&#789;	̕	̕	%u0315
&#790;	̖	̖	%u0316
&#791;	̗	̗	%u0317
&#792;	̘	̘	%u0318
&#793;	̙	̙	%u0319
&#794;	̚	̚	%u031A
&#795;	̛	̛	%u031B
&#796;	̜	̜	%u031C
&#797;	̝	̝	%u031D
&#798;	̞	̞	%u031E
&#799;	̟	̟	%u031F
&#800;	̠	̠	%u0320
&#801;	̡	̡	%u0321
&#802;	̢	̢	%u0322
&#803;	̣	̣	%u0323
&#804;	̤	̤	%u0324
&#805;	̥	̥	%u0325
